order_id,customer_id,order_date,status,total_amount
1,1,2023-11-19,cancelled,42000000
2,1,2024-04-08,completed,3000000
3,1,2024-08-21,completed,3000000
4,1,2023-11-18,completed,16000000
5,1,2024-12-03,completed,3000000
6,1,2023-12-02,completed,13000000
7,1,2023-09-24,cancelled,9000000
8,2,2024-07-23,completed,1000000
9,2,2023-03-05,cancelled,1000000
10,2,2024-02-15,completed,1500000
11,2,2023-03-18,completed,800000
12,2,2024-03-30,cancelled,1000000
13,2,2023-05-06,completed,4300000
14,2,2024-03-12,completed,1800000
15,2,2023-02-05,completed,2500000
16,2,2024-05-05,completed,3600000
17,2,2024-07-10,cancelled,7100000
18,3,2023-12-19,cancelled,21000000
19,3,2023-01-27,completed,11000000
20,3,2024-04-28,completed,12000000
21,3,2024-06-30,cancelled,5000000
22,3,2024-08-12,cancelled,19000000
23,3,2024-08-29,completed,27000000
24,3,2024-07-30,cancelled,32000000
25,3,2023-02-08,completed,30000000
26,3,2023-12-06,cancelled,15000000
27,3,2023-07-01,cancelled,11000000
28,4,2024-12-22,cancelled,2400000
29,4,2024-01-09,cancelled,4600000
30,4,2024-08-23,completed,3700000
31,4,2024-05-13,completed,4800000
32,4,2024-09-20,cancelled,3000000
33,4,2023-06-29,completed,3700000
34,4,2024-08-04,completed,4000000
35,4,2023-03-21,completed,2800000
36,4,2023-12-10,completed,2400000
37,4,2023-02-19,completed,4500000
38,4,2024-08-14,completed,1300000
39,4,2023-11-23,completed,500000
40,5,2023-06-14,completed,10000000
41,5,2024-09-20,cancelled,6000000
42,5,2024-10-31,completed,27000000
43,5,2024-07-07,completed,26000000
44,5,2023-06-07,completed,10000000
45,5,2024-11-08,completed,26000000
46,5,2023-11-12,cancelled,34000000
47,5,2024-10-19,completed,20000000
48,5,2023-02-15,completed,36000000
49,6,2024-07-08,completed,2500000
50,6,2024-03-04,cancelled,3600000
51,6,2023-11-03,completed,1500000
52,6,2024-06-13,cancelled,1800000
53,6,2023-06-27,cancelled,1300000
54,6,2023-05-10,completed,1500000
55,6,2024-10-04,completed,3600000
56,6,2023-11-30,cancelled,3800000
57,7,2024-06-19,cancelled,1600000
58,7,2023-06-03,completed,800000
59,7,2023-04-14,cancelled,4200000
60,7,2024-11-01,completed,6100000
61,7,2023-12-06,completed,1500000
62,7,2023-10-03,cancelled,1000000
63,7,2023-11-07,completed,6600000
64,7,2024-03-02,completed,800000
65,7,2024-02-21,completed,4000000
66,7,2023-05-19,cancelled,800000
67,7,2023-07-17,cancelled,1600000
68,7,2023-02-03,completed,5500000
69,8,2024-11-28,completed,8500000
70,8,2023-12-25,completed,10000000
71,8,2024-08-08,cancelled,6000000
72,8,2023-08-19,completed,10500000
73,9,2024-10-24,completed,1500000
74,9,2023-11-09,completed,8500000
75,9,2024-11-24,completed,15600000
76,9,2023-11-02,completed,10500000
77,9,2024-10-29,completed,5100000
78,10,2024-02-18,completed,3100000
79,10,2023-09-23,cancelled,5700000
80,10,2024-12-26,cancelled,3100000
81,10,2024-12-31,completed,6600000
82,10,2024-04-27,completed,4800000
83,10,2023-08-16,completed,5600000
84,10,2023-05-01,completed,1600000
85,10,2024-05-27,completed,3300000
86,10,2024-08-06,cancelled,4700000
87,10,2023-03-24,completed,1800000
88,10,2023-08-03,cancelled,2000000
89,10,2024-05-16,cancelled,800000
90,11,2024-03-20,completed,5700000
91,11,2023-11-26,cancelled,2000000
92,11,2023-01-05,completed,2100000
93,11,2023-04-16,completed,2000000
94,11,2024-06-16,completed,3100000
95,11,2023-07-12,completed,4300000
96,11,2023-05-07,completed,1000000
97,11,2023-09-19,cancelled,1500000
98,11,2023-02-19,completed,800000
99,11,2024-03-02,completed,2400000
100,11,2024-12-19,completed,1000000
101,11,2023-04-14,completed,2500000
102,12,2023-05-01,completed,6000000
103,12,2023-07-24,cancelled,25000000
104,12,2024-02-24,completed,9000000
105,12,2023-08-01,completed,33000000
106,12,2023-04-03,cancelled,9000000
107,12,2023-04-14,cancelled,16000000
108,12,2023-09-28,completed,5000000
109,12,2023-10-25,completed,16000000
110,12,2023-05-22,completed,20000000
111,12,2023-10-02,cancelled,10000000
112,12,2023-12-17,completed,41000000
113,12,2023-06-20,completed,5000000
114,13,2024-05-09,cancelled,11400000
115,13,2024-09-18,completed,4400000
116,13,2024-03-27,completed,11700000
117,13,2024-08-13,completed,7200000
118,13,2024-12-18,completed,11100000
119,13,2024-07-25,cancelled,1500000
120,13,2024-10-20,cancelled,8100000
121,13,2023-11-25,completed,10200000
122,13,2023-03-22,completed,8600000
123,13,2024-02-27,completed,1500000
124,13,2024-09-25,completed,6000000
125,13,2023-02-25,cancelled,14700000
126,14,2024-11-03,completed,12900000
127,14,2023-10-26,completed,9300000
128,14,2024-02-24,completed,4200000
129,14,2023-07-15,completed,3000000
130,14,2024-10-10,cancelled,2400000
131,14,2024-04-13,completed,6900000
132,14,2024-03-19,cancelled,12900000
133,14,2023-06-27,completed,5100000
134,14,2023-11-26,completed,13300000
135,14,2024-04-08,cancelled,7600000
136,15,2023-11-03,cancelled,14100000
137,15,2024-10-09,completed,10500000
138,15,2024-11-19,completed,7200000
139,15,2023-04-29,cancelled,16800000
140,15,2024-03-03,completed,8400000
141,15,2024-11-17,completed,6000000
142,15,2023-10-30,completed,3000000
143,15,2023-04-15,completed,6000000
144,15,2024-12-13,completed,4000000
145,15,2024-12-02,completed,2000000
146,15,2023-07-27,completed,15700000
147,16,2023-07-18,completed,7500000
148,16,2023-05-03,completed,9800000
149,16,2023-06-08,completed,18000000
150,16,2024-08-09,completed,6000000
151,16,2023-08-14,cancelled,3600000
152,16,2023-06-13,completed,7100000
153,17,2024-06-27,completed,800000
154,17,2024-04-01,completed,2400000
155,17,2023-04-27,completed,4800000
156,17,2023-02-14,completed,1800000
157,17,2024-07-04,completed,500000
158,17,2023-08-07,cancelled,6100000
159,17,2024-03-21,completed,2400000
160,17,2023-01-25,completed,2600000
161,17,2024-08-11,cancelled,4800000
162,17,2024-10-07,completed,3100000
163,17,2023-03-06,cancelled,2400000
164,17,2023-03-16,completed,1000000
165,18,2024-09-13,completed,12700000
166,18,2024-07-12,completed,8500000
167,18,2023-01-12,completed,8000000
168,18,2024-07-04,completed,4000000
169,18,2023-12-19,completed,5100000
170,18,2023-07-18,completed,4500000
171,18,2024-07-16,completed,2400000
172,19,2024-05-13,cancelled,5600000
173,19,2023-08-29,completed,800000
174,19,2024-04-06,completed,4600000
175,19,2023-06-22,completed,2300000
176,19,2024-01-04,completed,4200000
177,19,2023-06-29,completed,1600000
178,19,2023-05-24,cancelled,3400000
179,19,2024-10-03,completed,800000
180,19,2024-10-08,completed,5900000
181,19,2023-06-02,completed,3400000
182,19,2024-05-28,completed,7300000
183,19,2023-06-13,completed,3400000
184,20,2023-08-26,completed,6500000
185,20,2024-04-10,cancelled,6000000
186,20,2023-11-28,completed,13500000
187,20,2024-01-10,completed,4500000
188,20,2023-08-17,completed,9000000
189,20,2023-05-23,completed,5200000
190,20,2023-07-11,completed,4500000
191,20,2023-12-05,completed,13500000
192,20,2023-05-11,completed,3500000
193,20,2023-05-31,completed,10200000
194,21,2023-03-29,completed,40000000
195,21,2024-06-07,completed,25000000
196,21,2023-01-17,completed,38000000
197,21,2023-05-01,completed,12000000
198,21,2024-11-25,completed,30000000
199,21,2024-01-26,completed,10000000
200,21,2024-05-03,cancelled,6000000
201,22,2024-07-10,completed,4000000
202,22,2023-05-01,completed,15100000
203,22,2023-09-25,cancelled,15900000
204,22,2024-11-27,completed,7600000
205,22,2024-01-15,completed,14700000
206,22,2024-11-06,completed,4200000
207,22,2024-06-04,completed,11700000
208,22,2024-10-13,completed,1500000
209,22,2024-09-06,completed,2400000
210,22,2023-03-23,completed,13200000
211,22,2024-03-25,completed,10100000
212,22,2023-06-23,completed,7000000
213,23,2024-11-16,completed,8100000
214,23,2023-04-03,completed,6300000
215,23,2024-02-18,completed,6000000
216,23,2023-04-30,cancelled,11100000
217,23,2024-12-11,completed,11400000
218,23,2024-05-08,completed,2400000
219,23,2023-08-14,completed,5400000
220,23,2023-01-10,completed,6900000
221,24,2024-05-02,completed,24000000
222,24,2023-07-14,completed,11000000
223,24,2023-07-27,cancelled,11000000
224,24,2023-03-22,completed,34000000
225,24,2024-08-11,cancelled,26000000
226,25,2024-08-13,completed,3900000
227,25,2023-05-04,completed,4700000
228,25,2023-09-23,completed,3700000
229,25,2023-08-04,completed,4100000
230,25,2024-08-12,completed,2400000
231,25,2023-08-30,completed,4100000
232,26,2024-06-30,completed,11000000
233,26,2023-09-18,completed,3000000
234,26,2023-09-24,completed,10500000
235,26,2023-07-23,completed,9000000
236,26,2024-04-02,cancelled,14100000
237,26,2023-05-29,cancelled,12000000
238,26,2024-08-08,completed,2000000
239,26,2023-08-22,completed,11100000
240,26,2024-01-07,completed,10700000
241,26,2023-03-23,completed,12000000
242,26,2023-03-27,completed,4500000
243,27,2023-10-18,completed,2700000
244,27,2024-11-10,completed,15000000
245,27,2024-12-15,completed,18000000
246,27,2024-05-08,completed,3000000
247,27,2024-02-27,completed,8000000
248,27,2024-12-05,cancelled,13000000
249,28,2023-08-25,cancelled,4200000
250,28,2024-03-23,completed,3100000
251,28,2023-08-14,completed,8700000
252,28,2023-10-03,completed,800000
253,28,2023-04-24,completed,5800000
254,28,2023-04-15,completed,2900000
255,28,2023-06-04,completed,3200000
256,28,2024-04-19,completed,1000000
257,28,2023-05-30,completed,2800000
258,28,2023-09-12,completed,6400000
259,28,2023-08-02,completed,5500000
260,28,2023-09-17,completed,2100000
261,29,2024-10-10,completed,800000
262,29,2024-08-21,completed,3200000
263,29,2024-05-01,completed,2400000
264,29,2023-04-04,completed,6400000
265,29,2023-04-20,completed,4000000
266,29,2024-03-25,completed,2400000
267,30,2023-09-14,cancelled,40000000
268,30,2024-07-09,completed,19000000
