product_id,product_name,category,price,fabric,stock_quantity,created_at,size,color,season,style
1,Áo dài #1,Áo dài,3000000,Lụa,8,2022-05-21,XS,Vàng,Quanh năm,Thanh lịch
2,Áo dài #2,Áo dài,800000,Vải cotton,22,2022-02-22,M,Tím,Thu-Đông,Trẻ trung
3,Áo dài #3,Áo dài,3000000,Chiffon,16,2022-10-30,XXL,Xanh dương,Thu-Đông,Sang trọng
4,Áo dài #4,Áo dài,1500000,Lụa,8,2022-02-17,XS,Tím,Thu-Đông,Hiện đại
5,Áo dài #5,Áo dài,800000,Vải cotton,69,2022-11-05,XL,Xanh dương,Xuân-Hè,Sang trọng
6,Áo dài #6,Áo dài,500000,Chiffon,30,2022-11-29,XXL,Hồng,Thu-Đông,Cổ điển
7,Áo dài #7,Áo dài,3000000,Chiffon,58,2022-04-23,S,Xanh dương,Quanh năm,Cổ điển
8,Áo dài #8,Áo dài,1500000,Chiffon,40,2022-01-04,XS,Trắng,Thu-Đông,Thanh lịch
9,Áo dài #9,Áo dài,5000000,Vải cotton,94,2022-08-05,S,Hồng,Thu-Đông,Trẻ trung
10,Áo dài #10,Áo dài,1200000,Vải len,24,2022-04-21,XXL,Be,Quanh năm,Trẻ trung
11,Áo dài #11,Áo dài,5000000,Vải len,18,2022-02-17,L,Tím,Thu-Đông,Sang trọng
12,Áo dài #12,Áo dài,1500000,Lụa,50,2022-06-26,L,Trắng,Xuân-Hè,Trẻ trung
13,Áo dài #13,Áo dài,2000000,Vải len,10,2022-08-24,XL,Xám,Quanh năm,Trẻ trung
14,Áo dài #14,Áo dài,2000000,Lụa,53,2022-02-10,XL,Xanh dương,Thu-Đông,Sang trọng
15,Áo dài #15,Áo dài,2000000,Vải len,85,2022-11-13,XL,Đen,Xuân-Hè,Cổ điển
16,Áo dài #16,Áo dài,5000000,Vải len,78,2022-04-09,S,Be,Thu-Đông,Hiện đại
17,Áo dài #17,Áo dài,3000000,Lụa,10,2022-12-05,M,Vàng,Quanh năm,Thanh lịch
18,Áo dài #18,Áo dài,800000,Vải len,15,2022-04-30,M,Đỏ,Xuân-Hè,Cổ điển
19,Áo dài #19,Áo dài,5000000,Lụa,53,2022-05-23,M,Xám,Quanh năm,Trẻ trung
20,Áo dài #20,Áo dài,1500000,Vải len,25,2022-07-09,L,Đỏ,Thu-Đông,Trẻ trung
